    n, quick_cmp, quick_swaps, quick_time, heapsort_cmp, heapsort_swaps, heapsort_time
  402,      4804,           0,       2193,         5699,              0,          2522
  403,      5513,           0,       2455,         5722,              0,          2532
  404,      5492,           0,       2449,         5733,              0,          2542
  405,      4857,           0,       2214,         5760,              0,          2545
  406,      5111,           0,       2297,         5787,              0,          2586
  407,      4834,           0,       2209,         5795,              0,          2565
  408,      4858,           0,       2235,         5808,              0,          2570
  409,      4933,           0,       2248,         5825,              0,          2579
  410,      4998,           0,       2269,         5839,              0,          2588
  411,      5506,           0,       2455,         5847,              0,          2587
  412,      5451,           0,       2434,         5893,              0,          2613
  413,      5427,           0,       2437,         5905,              0,          2611
  414,      5603,           0,       2498,         5924,              0,          2629
  415,      5251,           0,       2381,         5922,              0,          2627
  416,      5148,           0,       2338,         5935,              0,          2629
  417,      5253,           0,       2500,         5968,              0,          2793
  418,      5201,           0,       2551,         5999,              0,          2738
  419,      6078,           0,       2746,         6037,              0,          2735
  420,      6192,           0,       2841,         6035,              0,          2808
  421,      5855,           0,       2638,         6060,              0,          2640
  422,      5420,           0,       2400,         6075,              0,          2650
  423,      5268,           0,       2389,         6084,              0,          2650
  424,      5408,           0,       2400,         6121,              0,          2705
  425,      5377,           0,       2405,         6137,              0,          2697
  426,      5230,           0,       2367,         6136,              0,          2673
  427,      5959,           0,       2600,         6162,              0,          2687
  428,      5840,           0,       2568,         6174,              0,          2695
  429,      5840,           0,       2573,         6182,              0,          2707
  430,      5849,           0,       2565,         6218,              0,          2767
  431,      5230,           0,       2416,         6223,              0,          2811
  432,      5162,           0,       2341,         6241,              0,          2725
  433,      5589,           0,       2463,         6280,              0,          2900
  434,      5598,           0,       2512,         6293,              0,          2741
  435,      5198,           0,       2348,         6304,              0,          2815
  436,      5341,           0,       2435,         6342,              0,          2815
  437,      5373,           0,       2452,         6349,              0,          2820
  438,      5557,           0,       2541,         6364,              0,          2864
  439,      5317,           0,       2402,         6394,              0,          2789
  440,      5398,           0,       2416,         6401,              0,          2786
  441,      5384,           0,       2453,         6419,              0,          2810
  442,      5842,           0,       2579,         6422,              0,          2798
  443,      5794,           0,       2559,         6450,              0,          2830
  444,      5464,           0,       2522,         6474,              0,          2871
  445,      5532,           0,       2466,         6457,              0,          2869
  446,      5949,           0,       2641,         6505,              0,          2873
  447,      5364,           0,       2506,         6506,              0,          2838
  448,      5506,           0,       2475,         6525,              0,          2840
  449,      5629,           0,       2505,         6552,              0,          2849
  450,      5525,           0,       2570,         6571,              0,          2871
  451,      6023,           0,       2651,         6571,              0,          2903
  452,      5755,           0,       2606,         6594,              0,          2939
  453,      5536,           0,       2557,         6621,              0,          2948
  454,      5526,           0,       2544,         6628,              0,          2942
  455,      6002,           0,       2725,         6643,              0,          3002
  456,      5916,           0,       2654,         6669,              0,          2906
  457,      5899,           0,       2627,         6690,              0,          2912
  458,      5768,           0,       2571,         6699,              0,          2981
  459,      6013,           0,       2671,         6718,              0,          2957
  460,      6562,           0,       2904,         6751,              0,          2996
  461,      5660,           0,       2620,         6757,              0,          3001
  462,      5703,           0,       2573,         6779,              0,          2954
  463,      5700,           0,       2578,         6796,              0,          2957
  464,      5675,           0,       2624,         6817,              0,          2985
  465,      5781,           0,       2576,         6837,              0,          3037
  466,      5887,           0,       2707,         6838,              0,          3042
  467,      5945,           0,       2755,         6857,              0,          2998
  468,      5703,           0,       2575,         6877,              0,          3000
  469,      6093,           0,       2700,         6897,              0,          3053
  470,      5896,           0,       2648,         6913,              0,          3016
  471,      6256,           0,       2829,         6937,              0,          3089
  472,      6254,           0,       2831,         6933,              0,          3133
  473,      6030,           0,       2755,         6976,              0,          3093
  474,      6397,           0,       2882,         6993,              0,          3115
  475,      6284,           0,       2905,         6990,              0,          3067
  476,      5899,           0,       2658,         7007,              0,          3054
  477,      6389,           0,       2829,         7044,              0,          3091
  478,      6421,           0,       2894,         7037,              0,          3071
  479,      6234,           0,       2770,         7056,              0,          3072
  480,      6056,           0,       2722,         7088,              0,          3137
  481,      6245,           0,       2772,         7087,              0,          3093
