   n, quick_cmp, quick_swaps, quick_time, heapsort_cmp, heapsort_swaps, heapsort_time, insertion_cmp, insertion_swaps, insertion_time, bubble_cmp, bubble_swaps, bubble_time
 145,      1477,          87,        674,         1639,            768,           828,          5657,            5516,           4763,      10440,         5516,        6632
 146,      1517,          92,        710,         1636,            765,           858,          5758,            5616,           4888,      10585,         5616,        6485
 147,      1410,          94,        655,         1672,            785,           864,          5882,            5739,           4953,      10731,         5739,        6607
 148,      1430,          90,        663,         1676,            785,           844,          5954,            5810,           5127,      10878,         5810,        6963
 149,      1503,          96,        731,         1685,            785,           880,          6050,            5905,           5298,      11026,         5905,        7077
 150,      1419,          93,        699,         1702,            793,           905,          6188,            6042,           5354,      11175,         6042,        6927
 151,      1476,          99,        688,         1732,            813,           873,          6262,            6115,           5274,      11325,         6115,        6986
 152,      1665,         103,        756,         1741,            816,           880,          6283,            6135,           5306,      11476,         6135,        7073
 153,      1434,          93,        666,         1753,            820,           884,          6405,            6256,           5403,      11628,         6256,        7184
 154,      1506,          94,        693,         1768,            831,           892,          6414,            6264,           5415,      11781,         6264,        7296
 155,      1432,          96,        697,         1793,            843,           941,          6494,            6343,           5681,      11935,         6343,        7579
 156,      1462,         101,        708,         1795,            838,           936,          6619,            6467,           5763,      12090,         6467,        7454
 157,      1444,          99,        683,         1812,            854,           923,          6657,            6504,           5708,      12246,         6504,        7545
 158,      1448,          99,        684,         1821,            854,           919,          6661,            6507,           5628,      12403,         6507,        7575
 159,      1492,          96,        689,         1834,            858,           932,          6779,            6624,           5711,      12561,         6624,        7673
 160,      1546,          99,        713,         1854,            868,           933,          6813,            6657,           5744,      12720,         6657,        7754
 161,      1549,         101,        714,         1852,            874,           936,          6903,            6746,           5825,      12880,         6746,        7878
 162,      1643,         103,        757,         1866,            878,           939,          7023,            6865,           5947,      13041,         6865,        7982
 163,      1629,         103,        753,         1901,            901,           960,          7090,            6931,           5979,      13203,         6931,        8067
 164,      1578,         104,        735,         1905,            895,           961,          7132,            6972,           6039,      13366,         6972,        8141
 165,      1680,         111,        782,         1920,            901,           972,          7146,            6985,           6072,      13530,         6985,        8198
 166,      1604,         106,        745,         1940,            906,           985,          7155,            6993,           6034,      13695,         6993,        8258
 167,      1716,         102,        781,         1945,            914,           982,          7247,            7084,           6119,      13861,         7084,        8383
 168,      1714,         108,        786,         1959,            924,           992,          7351,            7187,           6217,      14028,         7187,        8476
 169,      1722,         111,        814,         1968,            929,          1003,          7474,            7309,           6611,      14196,         7309,        8646
 170,      1737,         115,        815,         1990,            945,          1050,          7598,            7432,           6553,      14365,         7432,        8783
 171,      1824,         109,        880,         2005,            947,          1053,          7712,            7545,           6542,      14535,         7545,        8871
 172,      2720,         135,       1152,         2017,            953,          1021,          7883,            7716,           6673,      14706,         7716,        9046
 173,      1843,         110,        877,         2027,            951,          1029,          7991,            7823,           6773,      14878,         7823,        9123
 174,      1827,         107,        830,         2040,            962,          1028,          8012,            7843,           6783,      15051,         7843,        9187
 175,      1690,         111,        802,         2065,            970,          1047,          8098,            7928,           6839,      15225,         7928,        9300
 176,      1747,         118,        820,         2071,            975,          1049,          8255,            8084,           6976,      15400,         8084,        9427
 177,      1840,         110,        835,         2095,            992,          1061,          8346,            8174,           7072,      15576,         8174,        9494
 178,      1789,         109,        823,         2107,            991,          1065,          8435,            8262,           7158,      15753,         8262,        9641
 179,      1824,         113,        843,         2115,            992,          1065,          8608,            8434,           7272,      15931,         8434,        9757
 180,      1891,         123,        872,         2130,           1001,          1076,          8681,            8506,           7329,      16110,         8506,        9859
 181,      1735,         114,        815,         2144,           1009,          1083,          8809,            8633,           7443,      16290,         8633,        9994
 182,      1798,         109,        845,         2152,           1016,          1083,          8954,            8777,           7554,      16471,         8777,       10097
 183,      1923,         120,        880,         2168,           1018,          1092,          9100,            8922,           7680,      16653,         8922,       10246
 184,      1948,         125,        894,         2195,           1033,          1107,          9137,            8958,           7709,      16836,         8958,       10339
 185,      2029,         116,        916,         2198,           1032,          1107,          9168,            8988,           7761,      17020,         8988,       10423
 186,      2110,         123,        952,         2210,           1045,          1114,          9297,            9116,           7846,      17205,         9116,       10555
 187,      2071,         116,        930,         2241,           1048,          1127,          9474,            9292,           7998,      17391,         9292,       10691
 188,      2030,         116,        916,         2257,           1067,          1138,          9607,            9424,           8113,      17578,         9424,       10831
 189,      1861,         120,        860,         2285,           1083,          1154,          9735,            9551,           8224,      17766,         9551,       10936
 190,      1961,         124,        900,         2286,           1077,          1152,          9785,            9600,           8263,      17955,         9600,       11049
 191,      1934,         118,        889,         2307,           1087,          1173,          9815,            9629,           8286,      18145,         9629,       11126
 192,      1970,         117,        894,         2327,           1092,          1172,          9870,            9683,           8324,      18336,         9683,       11203
